"","Country","iso2","iso3","Year","icd10n","icd103n","icd104n","icd10c","icd103c","icd104c","icd11c1","icd11c2","icd11c3","icd11l1","icd11l2","icd11l3","Disease","DONs","Definition"
"225","Cameroon","CM","CMR","2013","Viral infections of the central nervous system","Acute poliomyelitis","Acute poliomyelitis, unspecified","A80-A89","A80","A809","1","C81","1C81","Certain infectious or parasitic diseases  ","Viral infections of the central nervous system","Acute poliomyelitis","Acute poliomyelitis, unspecified","DON1799","A disease of the nervous system, caused by human poliovirus. This disease commonly presents with a fever, sore throat, headache, vomiting, or stiffness of the neck and back. This disease may present with an acute onset of flaccid paralysis. Transmission is commonly by the faecal-oral route or direct contact. Confirmation is by identification of poliovirus in a faecal sample or by a lumbar puncture."
"226","Cameroon","CM","CMR","2018","Viral infections characterized by skin and mucous membrane lesions","Monkeypox","Monkeypox","B00-B09","B04","B04","1","E71","1E71","Certain infectious or parasitic diseases  ","Viral infections characterised by skin or mucous membrane lesions","Infections due to poxvirus","Monkeypox","DON2423","A disease caused by an infection with monkeypox virus. In the first phase, this disease is characterised by lymphadenopathy, fever, headache, or malaise"
"227","Cameroon","CM","CMR","2019","Viral infections of the central nervous system","Acute poliomyelitis","Acute poliomyelitis, unspecified","A80-A89","A80","A809","1","C81","1C81","Certain infectious or parasitic diseases  ","Viral infections of the central nervous system","Acute poliomyelitis","Acute poliomyelitis, unspecified","DON2534, DON2587, DON2546","A disease of the nervous system, caused by human poliovirus. This disease commonly presents with a fever, sore throat, headache, vomiting, or stiffness of the neck and back. This disease may present with an acute onset of flaccid paralysis. Transmission is commonly by the faecal-oral route or direct contact. Confirmation is by identification of poliovirus in a faecal sample or by a lumbar puncture."
"228","Cameroon","CM","CMR","2021","Arthropod-borne viral fevers and viral haemorrhagic fevers","Yellow fever","Yellow fever, unspecified","A92-A99","A95","A959","1","D47","1D47","Certain infectious or parasitic diseases  ","Certain arthropod-borne viral fevers","Yellow fever","Yellow fever, unspecified","DON2710","A condition caused by an infection with yellow fever virus. This condition is characterised by fever, chills, headache, myalgia, conjunctival congestion, or relative bradycardia. Severe conditions may also present with increasing fever, jaundice, renal failure, or bleeding. Transmission is through the bite of an infected mosquito. Confirmation is by detection of IgM anti-yellow fever virus antibodies in a serum sample."
"229","Cameroon","CM","CMR","2018","Intestinal infectious diseases","Cholera","Classical cholera","A00-A09","A00","A000","1","A00","1A00","Certain infectious or parasitic diseases  ","Gastroenteritis or colitis of infectious origin  ","Bacterial intestinal infections  ","Cholera","DON2428","Intestinal infection due to Vibrio cholerae"
"230","Cameroon","CM","CMR","2009","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","1","E31","1E31","Certain infectious or parasitic diseases  ","Influenza","Influenza"," Influenza due to identified zoonotic or pandemic influenza virus","DON1442","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission."
"231","Cameroon","CM","CMR","1998","Intestinal infectious diseases","Other gastroenteritis and colitis of infectious and unspecified origin","Other and unspecified gastroenteritis and colitis of infectious origin","A00-A09","A09","A090","1","A40","1A40","Certain infectious or parasitic diseases  ","Gastroenteritis or colitis of infectious origin  ","Gastroenteritis or colitis without specification of infectious agent","Infectious gastroenteritis or colitis without specification of infectious agent","DON0228",""
"232","Cameroon","CM","CMR","2009","Arthropod-borne viral fevers and viral haemorrhagic fevers","Yellow fever","Yellow fever, unspecified","A92-A99","A95","A959","1","D47","1D47","Certain infectious or parasitic diseases  ","Certain arthropod-borne viral fevers","Yellow fever","Yellow fever, unspecified","DON1449","A condition caused by an infection with yellow fever virus. This condition is characterised by fever, chills, headache, myalgia, conjunctival congestion, or relative bradycardia. Severe conditions may also present with increasing fever, jaundice, renal failure, or bleeding. Transmission is through the bite of an infected mosquito. Confirmation is by detection of IgM anti-yellow fever virus antibodies in a serum sample."
"233","Cameroon","CM","CMR","2021","Viral infections of the central nervous system","Acute poliomyelitis","Acute poliomyelitis, unspecified","A80-A89","A80","A809","1","C81","1C81","Certain infectious or parasitic diseases  ","Viral infections of the central nervous system","Acute poliomyelitis","Acute poliomyelitis, unspecified","DON2682","A disease of the nervous system, caused by human poliovirus. This disease commonly presents with a fever, sore throat, headache, vomiting, or stiffness of the neck and back. This disease may present with an acute onset of flaccid paralysis. Transmission is commonly by the faecal-oral route or direct contact. Confirmation is by identification of poliovirus in a faecal sample or by a lumbar puncture."
"234","Cameroon","CM","CMR","2012","Arthropod-borne viral fevers and viral haemorrhagic fevers","Yellow fever","Yellow fever, unspecified","A92-A99","A95","A959","1","D47","1D47","Certain infectious or parasitic diseases  ","Certain arthropod-borne viral fevers","Yellow fever","Yellow fever, unspecified","DON1624","A condition caused by an infection with yellow fever virus. This condition is characterised by fever, chills, headache, myalgia, conjunctival congestion, or relative bradycardia. Severe conditions may also present with increasing fever, jaundice, renal failure, or bleeding. Transmission is through the bite of an infected mosquito. Confirmation is by detection of IgM anti-yellow fever virus antibodies in a serum sample."
"235","Canada","CA","CAN","2003","Codes for special purposes","Provisional assignment of new diseases of uncertain etiology or emergency use","Severe acute respiratory syndrome [SARS]","U00-U49","U04","U049","1","D65","1D65","Certain infectious or parasitic diseases  ","Certain zoonotic viral diseases","Severe acute respiratory syndrome","Severe acute respiratory syndrome","DON0717, DON0703, DON0699, DON0676, DON0688, DON0679, DON0684, DON0749, DON0697, DON0731, DON0691, DON0713, DON0702, DON0690, DON0715, DON0689, DON0701, DON0696, DON0700, DON0678, DON0740, DON0680, DON0741, DON0695, DON0698, DON0720, DON0750","A disease of the respiratory system, caused by an infection with coronavirus. This disease is characterised by fever, headache, cough, myalgia, tachycardia, or diarrhoea. This disease may also lead to pneumonia. Transmission is by direct contact, inhalation of infected respiratory secretions, or airborne transmission. Confirmation is by identification of coronavirus in a blood, stool, respiratory secretions, or body tissue sample."
"236","Canada","CA","CAN","2009","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","1","E31","1E31","Certain infectious or parasitic diseases  ","Influenza","Influenza"," Influenza due to identified zoonotic or pandemic influenza virus","DON1409, DON1419, DON1398, DON1415, DON1435, DON1385, DON1396, DON1406, DON1400, DON1395, DON1405, DON1434, DON1412, DON1384, DON1382, DON1387, DON1425, DON1381, DON1391, DON1426, DON1393, DON1402, DON1410, DON1397, DON1407, DON1380, DON1431, DON1433, DON1386, DON1422, DON1416, DON1383, DON1404, DON1394, DON1418, DON1429, DON1424, DON1413, DON1430, DON1420, DON1428, DON1427, DON1392, DON1399, DON1403, DON1423, DON1411, DON1379","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission."
"237","Canada","CA","CAN","2003","Other viral diseases","Viral infection of unspecified site","Coronavirus infection, unspecified site","B25-B34","B34","B342","1","D92","1D92","Certain infectious or parasitic diseases  ","Certain other viral diseases","Viral infection of unspecified site","Coronavirus infection, unspecified site","DON0784",""
"238","Canada","CA","CAN","2004","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","1","E31","1E31","Certain infectious or parasitic diseases  ","Influenza","Influenza"," Influenza due to identified zoonotic or pandemic influenza virus","DON0863, DON0813, DON0820, DON0815","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission."
"239","Canada","CA","CAN","2002","Arthropod-borne viral fevers and viral haemorrhagic fevers","Other mosquito-borne viral fevers","West Nile virus infection","A92-A99","A92","A923","1","D46","1D46","Certain infectious or parasitic diseases  ","Certain arthropod-borne viral fevers","West Nile virus infection","West Nile virus infection","DON0639, DON0644, DON0631, DON0637, DON0640, DON0626, DON0645, DON0642, DON0633, DON0630","A condition caused by an infection with West Nile Virus. This condition is common asymptomatic. This condition may present with fever, headache, stiffness of the neck, stupor, disorientation, coma, tremors, convulsions, muscle weakness, or paralysis. Transmission is through the bite of an infected mosquito. Confirmation is by detection of IgG or IgM anti-West Nile virus antibodies in a serum sample."
"240","Canada","CA","CAN","2000","Certain zoonotic bacterial diseases","Leptospirosis","Leptospirosis, unspecified","A20-A28","A27","A279","1","B91","1B91","Certain infectious or parasitic diseases  ","Certain zoonotic bacterial diseases","Leptospirosis","Leptospirosis, unspecified","DON0416","A disease caused by an infection with the gram-negative bacteria Leptospira. In the first phase, this disease is characterised by generalised illness (fever, chills, or myalgias) or individuals may be asymptomatic"
"241","Canada","CA","CAN","2003","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","1","E31","1E31","Certain infectious or parasitic diseases  ","Influenza","Influenza"," Influenza due to identified zoonotic or pandemic influenza virus","DON0803, DON0800, DON0800, DON0800, DON0800, DON0800, DON0800, DON0800, DON0808, DON0804, DON0806, DON0800, DON0800","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission."
"242","Canada","CA","CAN","2000","Bacterial, viral and other infectious agents","Other specified bacterial agents as the cause of diseases classified to other chapters","Escherichia coli [E. coli] as the cause of diseases classified to other chapters","B95-B98","B96","B962","X","N6P4","XN6P4","Extension Codes","Aetiology","Infectious Agents","Escherichia coli","DON0398",""
"243","Canada","CA","CAN","1998","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","1","E31","1E31","Certain infectious or parasitic diseases  ","Influenza","Influenza"," Influenza due to identified zoonotic or pandemic influenza virus","DON0216","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission."
"244","Canada","CA","CAN","2015","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","1","E31","1E31","Certain infectious or parasitic diseases  ","Influenza","Influenza"," Influenza due to identified zoonotic or pandemic influenza virus","DON2010","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission."
"245","Canada","CA","CAN","2015","Viral infections characterized by skin and mucous membrane lesions","Measles","Measles","B00-B09","B05","B05","1","F03","1F03","Certain infectious or parasitic diseases  ","Viral infections characterised by skin or mucous membrane lesions","Measles","Measles","DON2017","A disease of the respiratory system, caused by an infection with Morbillivirus. This disease is characterised by a blotchy rash, fever, cough, conjunctivitis, or malaise. This disease may also present with tiny white spots with bluish-white centres inside the mouth. Transmission is by inhalation of infected respiratory secretions, airborne transmission or direct contact. Confirmation is by detection of Morbillivirus RNA or measles-specific IgM antibodies."
"246","Canada","CA","CAN","2011","Viral infections characterized by skin and mucous membrane lesions","Measles","Measles","B00-B09","B05","B05","1","F03","1F03","Certain infectious or parasitic diseases  ","Viral infections characterised by skin or mucous membrane lesions","Measles","Measles","DON1603","A disease of the respiratory system, caused by an infection with Morbillivirus. This disease is characterised by a blotchy rash, fever, cough, conjunctivitis, or malaise. This disease may also present with tiny white spots with bluish-white centres inside the mouth. Transmission is by inhalation of infected respiratory secretions, airborne transmission or direct contact. Confirmation is by detection of Morbillivirus RNA or measles-specific IgM antibodies."
"247","Canada","CA","CAN","2006","Intestinal infectious diseases","Other bacterial foodborne intoxications, not elsewhere classified","Botulism","A00-A09","A05","A051","1","A11","1A11","Certain infectious or parasitic diseases  ","Gastroenteritis or colitis of infectious origin  ","Bacterial foodborne intoxications","Botulism","DON1160","A disease caused by an infection with the gram-positive bacteria Clostridium botulinum. This disease commonly presents with abdominal pain, vomiting, acute paralysis, blurred vision, diplopia, and may be fatal. Transmission is by ingestion of contaminated food, direct contact, or from accidental overdose. Confirmation is by identification of Clostridium botulinum in a faecal or food sample."
"248","Canada","CA","CAN","2014","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","1","E31","1E31","Certain infectious or parasitic diseases  ","Influenza","Influenza"," Influenza due to identified zoonotic or pandemic influenza virus","DON1814","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission."
"249","Cayman Islands","KY","CYM","2009","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","1","E31","1E31","Certain infectious or parasitic diseases  ","Influenza","Influenza"," Influenza due to identified zoonotic or pandemic influenza virus","DON1430, DON1425, DON1422, DON1427, DON1420, DON1431, DON1423, DON1433, DON1428, DON1424, DON1435, DON1434, DON1429, DON1426","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission."
"250","Central African Republic","CF","CAF","2020","Viral infections characterized by skin and mucous membrane lesions","Measles","Measles","B00-B09","B05","B05","1","F03","1F03","Certain infectious or parasitic diseases  ","Viral infections characterised by skin or mucous membrane lesions","Measles","Measles","DON2621","A disease of the respiratory system, caused by an infection with Morbillivirus. This disease is characterised by a blotchy rash, fever, cough, conjunctivitis, or malaise. This disease may also present with tiny white spots with bluish-white centres inside the mouth. Transmission is by inhalation of infected respiratory secretions, airborne transmission or direct contact. Confirmation is by detection of Morbillivirus RNA or measles-specific IgM antibodies."
"251","Central African Republic","CF","CAF","2008","Arthropod-borne viral fevers and viral haemorrhagic fevers","Yellow fever","Yellow fever, unspecified","A92-A99","A95","A959","1","D47","1D47","Certain infectious or parasitic diseases  ","Certain arthropod-borne viral fevers","Yellow fever","Yellow fever, unspecified","DON1315, DON1331","A condition caused by an infection with yellow fever virus. This condition is characterised by fever, chills, headache, myalgia, conjunctival congestion, or relative bradycardia. Severe conditions may also present with increasing fever, jaundice, renal failure, or bleeding. Transmission is through the bite of an infected mosquito. Confirmation is by detection of IgM anti-yellow fever virus antibodies in a serum sample."
"252","Central African Republic","CF","CAF","2021","Arthropod-borne viral fevers and viral haemorrhagic fevers","Yellow fever","Yellow fever, unspecified","A92-A99","A95","A959","1","D47","1D47","Certain infectious or parasitic diseases  ","Certain arthropod-borne viral fevers","Yellow fever","Yellow fever, unspecified","DON2710","A condition caused by an infection with yellow fever virus. This condition is characterised by fever, chills, headache, myalgia, conjunctival congestion, or relative bradycardia. Severe conditions may also present with increasing fever, jaundice, renal failure, or bleeding. Transmission is through the bite of an infected mosquito. Confirmation is by detection of IgM anti-yellow fever virus antibodies in a serum sample."
"253","Central African Republic","CF","CAF","1997","Intestinal infectious diseases","Cholera","Classical cholera","A00-A09","A00","A000","1","A00","1A00","Certain infectious or parasitic diseases  ","Gastroenteritis or colitis of infectious origin  ","Bacterial intestinal infections  ","Cholera","DON0169","Intestinal infection due to Vibrio cholerae"
"254","Central African Republic","CF","CAF","1996","Viral infections of the central nervous system","Viral meningitis","Viral meningitis, unspecified","A80-A89","A87","A879","1","C8E","1C8E","Certain infectious or parasitic diseases  ","Viral infections of the central nervous system","Viral meningitis not elsewhere classified","Viral meningitis not elsewhere classified, unspecified","DON0027, DON0031, DON0029","Any disease of the meninges, caused by an infection with a viral source."
"255","Central African Republic","CF","CAF","2012","Other bacterial diseases","Meningococcal infection","Meningococcal meningitis","A30-A49","A39","A390","1","C1C","1C1C","Certain infectious or parasitic diseases  ","Other bacterial diseases","Meningococcal disease","Meningococcal meningitis","DON1644","A condition of the meninges, caused by an infection with the gram-negative bacteria Neisseria meningitidis. This condition is characterised by high fever, stiff neck, severe headache, vomiting, purpura, photophobia, and sometimes chills, altered mental status, or seizures. Transmission is through haematogenous spread to the meninges after droplet transmission or direct contact. Confirmation is by identification of Neisseria meningitidis through a lumbar puncture, agglutination tests, or polymerase chain reaction."
"256","Central African Republic","CF","CAF","2001","Other bacterial diseases","Meningococcal infection","Meningococcal meningitis","A30-A49","A39","A390","1","C1C","1C1C","Certain infectious or parasitic diseases  ","Other bacterial diseases","Meningococcal disease","Meningococcal meningitis","DON0495, DON0508, DON0494, DON0490","A condition of the meninges, caused by an infection with the gram-negative bacteria Neisseria meningitidis. This condition is characterised by high fever, stiff neck, severe headache, vomiting, purpura, photophobia, and sometimes chills, altered mental status, or seizures. Transmission is through haematogenous spread to the meninges after droplet transmission or direct contact. Confirmation is by identification of Neisseria meningitidis through a lumbar puncture, agglutination tests, or polymerase chain reaction."
"257","Central African Republic","CF","CAF","2000","Viral infections of the central nervous system","Viral meningitis","Viral meningitis, unspecified","A80-A89","A87","A879","1","C8E","1C8E","Certain infectious or parasitic diseases  ","Viral infections of the central nervous system","Viral meningitis not elsewhere classified","Viral meningitis not elsewhere classified, unspecified","DON0373","Any disease of the meninges, caused by an infection with a viral source."
"258","Central African Republic","CF","CAF","2001","Viral infections of the central nervous system","Viral meningitis","Viral meningitis, unspecified","A80-A89","A87","A879","1","C8E","1C8E","Certain infectious or parasitic diseases  ","Viral infections of the central nervous system","Viral meningitis not elsewhere classified","Viral meningitis not elsewhere classified, unspecified","DON0493","Any disease of the meninges, caused by an infection with a viral source."
"259","Central African Republic","CF","CAF","2016","Viral infections characterized by skin and mucous membrane lesions","Monkeypox","Monkeypox","B00-B09","B04","B04","1","E71","1E71","Certain infectious or parasitic diseases  ","Viral infections characterised by skin or mucous membrane lesions","Infections due to poxvirus","Monkeypox","DON2275","A disease caused by an infection with monkeypox virus. In the first phase, this disease is characterised by lymphadenopathy, fever, headache, or malaise"
"260","Central African Republic","CF","CAF","2003","Intestinal infectious diseases","Shigellosis","Shigellosis due to Shigella flexneri","A00-A09","A03","A031","1","A02","1A02","Certain infectious or parasitic diseases  ","Gastroenteritis or colitis of infectious origin  ","Bacterial intestinal infections  ","Intestinal infections due to Shigella","DON0795","A disease caused by an infection with the gram-negative bacteria Shigella. This disease is characterised by an acute onset of small volume diarrhoea, accompanied by fever and nausea. This disease may also present with toxaemia, vomiting, cramps, and tenesmus. Transmission is by ingestion of contaminated food, or direct contact. Confirmation is by identification of Shigella in a faecal sample."
"261","Central African Republic","CF","CAF","2019","Viral infections of the central nervous system","Acute poliomyelitis","Acute poliomyelitis, unspecified","A80-A89","A80","A809","1","C81","1C81","Certain infectious or parasitic diseases  ","Viral infections of the central nervous system","Acute poliomyelitis","Acute poliomyelitis, unspecified","DON2546","A disease of the nervous system, caused by human poliovirus. This disease commonly presents with a fever, sore throat, headache, vomiting, or stiffness of the neck and back. This disease may present with an acute onset of flaccid paralysis. Transmission is commonly by the faecal-oral route or direct contact. Confirmation is by identification of poliovirus in a faecal sample or by a lumbar puncture."
"262","Central African Republic","CF","CAF","2021","Viral infections of the central nervous system","Acute poliomyelitis","Acute poliomyelitis, unspecified","A80-A89","A80","A809","1","C81","1C81","Certain infectious or parasitic diseases  ","Viral infections of the central nervous system","Acute poliomyelitis","Acute poliomyelitis, unspecified","DON2682","A disease of the nervous system, caused by human poliovirus. This disease commonly presents with a fever, sore throat, headache, vomiting, or stiffness of the neck and back. This disease may present with an acute onset of flaccid paralysis. Transmission is commonly by the faecal-oral route or direct contact. Confirmation is by identification of poliovirus in a faecal sample or by a lumbar puncture."
"263","Central African Republic","CF","CAF","2009","Arthropod-borne viral fevers and viral haemorrhagic fevers","Yellow fever","Yellow fever, unspecified","A92-A99","A95","A959","1","D47","1D47","Certain infectious or parasitic diseases  ","Certain arthropod-borne viral fevers","Yellow fever","Yellow fever, unspecified","DON1465","A condition caused by an infection with yellow fever virus. This condition is characterised by fever, chills, headache, myalgia, conjunctival congestion, or relative bradycardia. Severe conditions may also present with increasing fever, jaundice, renal failure, or bleeding. Transmission is through the bite of an infected mosquito. Confirmation is by detection of IgM anti-yellow fever virus antibodies in a serum sample."
"264","Central African Republic","CF","CAF","2008","Other bacterial diseases","Meningococcal infection","Meningococcal meningitis","A30-A49","A39","A390","1","C1C","1C1C","Certain infectious or parasitic diseases  ","Other bacterial diseases","Meningococcal disease","Meningococcal meningitis","DON1294","A condition of the meninges, caused by an infection with the gram-negative bacteria Neisseria meningitidis. This condition is characterised by high fever, stiff neck, severe headache, vomiting, purpura, photophobia, and sometimes chills, altered mental status, or seizures. Transmission is through haematogenous spread to the meninges after droplet transmission or direct contact. Confirmation is by identification of Neisseria meningitidis through a lumbar puncture, agglutination tests, or polymerase chain reaction."
"265","Central African Republic","CF","CAF","2004","Other bacterial diseases","Meningococcal infection","Meningococcal meningitis","A30-A49","A39","A390","1","C1C","1C1C","Certain infectious or parasitic diseases  ","Other bacterial diseases","Meningococcal disease","Meningococcal meningitis","DON0864","A condition of the meninges, caused by an infection with the gram-negative bacteria Neisseria meningitidis. This condition is characterised by high fever, stiff neck, severe headache, vomiting, purpura, photophobia, and sometimes chills, altered mental status, or seizures. Transmission is through haematogenous spread to the meninges after droplet transmission or direct contact. Confirmation is by identification of Neisseria meningitidis through a lumbar puncture, agglutination tests, or polymerase chain reaction."
"266","Chad","TD","TCD","1996","Viral infections of the central nervous system","Viral meningitis","Viral meningitis, unspecified","A80-A89","A87","A879","1","C8E","1C8E","Certain infectious or parasitic diseases  ","Viral infections of the central nervous system","Viral meningitis not elsewhere classified","Viral meningitis not elsewhere classified, unspecified","DON0027, DON0031, DON0024, DON0029","Any disease of the meninges, caused by an infection with a viral source."
"267","Chad","TD","TCD","2004","Intestinal infectious diseases","Cholera","Classical cholera","A00-A09","A00","A000","1","A00","1A00","Certain infectious or parasitic diseases  ","Gastroenteritis or colitis of infectious origin  ","Bacterial intestinal infections  ","Cholera","DON0827","Intestinal infection due to Vibrio cholerae"
"268","Chad","TD","TCD","2010","Intestinal infectious diseases","Cholera","Classical cholera","A00-A09","A00","A000","1","A00","1A00","Certain infectious or parasitic diseases  ","Gastroenteritis or colitis of infectious origin  ","Bacterial intestinal infections  ","Cholera","DON1543, DON1543, DON1543, DON1543","Intestinal infection due to Vibrio cholerae"
"269","Chad","TD","TCD","2013","Arthropod-borne viral fevers and viral haemorrhagic fevers","Yellow fever","Yellow fever, unspecified","A92-A99","A95","A959","1","D47","1D47","Certain infectious or parasitic diseases  ","Certain arthropod-borne viral fevers","Yellow fever","Yellow fever, unspecified","DON1697","A condition caused by an infection with yellow fever virus. This condition is characterised by fever, chills, headache, myalgia, conjunctival congestion, or relative bradycardia. Severe conditions may also present with increasing fever, jaundice, renal failure, or bleeding. Transmission is through the bite of an infected mosquito. Confirmation is by detection of IgM anti-yellow fever virus antibodies in a serum sample."
"270","Chad","TD","TCD","2005","Other bacterial diseases","Meningococcal infection","Meningococcal meningitis","A30-A49","A39","A390","1","C1C","1C1C","Certain infectious or parasitic diseases  ","Other bacterial diseases","Meningococcal disease","Meningococcal meningitis","DON0921, DON0926, DON0929, DON0949","A condition of the meninges, caused by an infection with the gram-negative bacteria Neisseria meningitidis. This condition is characterised by high fever, stiff neck, severe headache, vomiting, purpura, photophobia, and sometimes chills, altered mental status, or seizures. Transmission is through haematogenous spread to the meninges after droplet transmission or direct contact. Confirmation is by identification of Neisseria meningitidis through a lumbar puncture, agglutination tests, or polymerase chain reaction."
"271","Chad","TD","TCD","1998","Viral infections of the central nervous system","Viral meningitis","Viral meningitis, unspecified","A80-A89","A87","A879","1","C8E","1C8E","Certain infectious or parasitic diseases  ","Viral infections of the central nervous system","Viral meningitis not elsewhere classified","Viral meningitis not elsewhere classified, unspecified","DON0227","Any disease of the meninges, caused by an infection with a viral source."
"272","Chad","TD","TCD","2017","Viral hepatitis","Other acute viral hepatitis","Acute hepatitis E","B15-B19","B17","B172","1","E50","1E+50","Certain infectious or parasitic diseases  ","Viral hepatitis","Acute viral hepatitis","Acute hepatitis E","DON2297","A disease of the liver, caused by an acute infection with hepatitis E virus. This disease is characterised by nausea. Transmission is commonly by the faecal-oral route. Confirmation is by detection of anti-hepatitis E virus IgM antibodies in an individual's serum."
"273","Chad","TD","TCD","2001","Viral infections of the central nervous system","Viral meningitis","Viral meningitis, unspecified","A80-A89","A87","A879","1","C8E","1C8E","Certain infectious or parasitic diseases  ","Viral infections of the central nervous system","Viral meningitis not elsewhere classified","Viral meningitis not elsewhere classified, unspecified","DON0493, DON0483","Any disease of the meninges, caused by an infection with a viral source."
"274","Chad","TD","TCD","2019","Viral infections of the central nervous system","Acute poliomyelitis","Acute poliomyelitis, unspecified","A80-A89","A80","A809","1","C81","1C81","Certain infectious or parasitic diseases  ","Viral infections of the central nervous system","Acute poliomyelitis","Acute poliomyelitis, unspecified","DON2587","A disease of the nervous system, caused by human poliovirus. This disease commonly presents with a fever, sore throat, headache, vomiting, or stiffness of the neck and back. This disease may present with an acute onset of flaccid paralysis. Transmission is commonly by the faecal-oral route or direct contact. Confirmation is by identification of poliovirus in a faecal sample or by a lumbar puncture."
"275","Chad","TD","TCD","2021","Arthropod-borne viral fevers and viral haemorrhagic fevers","Yellow fever","Yellow fever, unspecified","A92-A99","A95","A959","1","D47","1D47","Certain infectious or parasitic diseases  ","Certain arthropod-borne viral fevers","Yellow fever","Yellow fever, unspecified","DON2710","A condition caused by an infection with yellow fever virus. This condition is characterised by fever, chills, headache, myalgia, conjunctival congestion, or relative bradycardia. Severe conditions may also present with increasing fever, jaundice, renal failure, or bleeding. Transmission is through the bite of an infected mosquito. Confirmation is by detection of IgM anti-yellow fever virus antibodies in a serum sample."
"276","Chad","TD","TCD","2004","Viral hepatitis","Other acute viral hepatitis","Acute hepatitis E","B15-B19","B17","B172","1","E50","1E+50","Certain infectious or parasitic diseases  ","Viral hepatitis","Acute viral hepatitis","Acute hepatitis E","DON0906, DON0895, DON0907, DON0899, DON0901","A disease of the liver, caused by an acute infection with hepatitis E virus. This disease is characterised by nausea. Transmission is commonly by the faecal-oral route. Confirmation is by detection of anti-hepatitis E virus IgM antibodies in an individual's serum."
"277","Chad","TD","TCD","2020","Arthropod-borne viral fevers and viral haemorrhagic fevers","Other mosquito-borne viral fevers","Chikungunya virus disease","A92-A99","A92","A920","1","D40","1D40","Certain infectious or parasitic diseases  ","Certain arthropod-borne viral fevers","Chikungunya virus disease","Chikungunya mosquito-borne viral fever","DON2658","Individuals are infected with the virus through a mosquito bite from Aedes mosquitos (Aedes albopictus and A. aegypti). Concomitant fever and arthalgia are a common specific sign although infection can present with non-specific symptoms that can be confused with Dengue including headache, rash and myalgia. Free virions are transported via the blood to the liver (hepatocyte apoptosis), muscle, joints and secondary lymphoid organs (adenopathy), wherein the virus replicates. Viral replication is associated with an infiltration of mononuclear cells including macrophages, which underlies the debilitating pain experienced in the muscles and joints, which can persist for months to years post infection. A small percentage of infected individuals remain asymptomatic, this is more common in patients under 25 years old. Age over 40 years is a risk factor for chronicity of symptoms. Encephalitis, Guillain-Barre sundrome and arthritis are rare complications of infection with Chikungya virus."
"278","Chad","TD","TCD","2011","Viral infections of the central nervous system","Acute poliomyelitis","Acute poliomyelitis, unspecified","A80-A89","A80","A809","1","C81","1C81","Certain infectious or parasitic diseases  ","Viral infections of the central nervous system","Acute poliomyelitis","Acute poliomyelitis, unspecified","DON1591","A disease of the nervous system, caused by human poliovirus. This disease commonly presents with a fever, sore throat, headache, vomiting, or stiffness of the neck and back. This disease may present with an acute onset of flaccid paralysis. Transmission is commonly by the faecal-oral route or direct contact. Confirmation is by identification of poliovirus in a faecal sample or by a lumbar puncture."
"279","Chad","TD","TCD","2010","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","1","E31","1E31","Certain infectious or parasitic diseases  ","Influenza","Influenza"," Influenza due to identified zoonotic or pandemic influenza virus","DON1480","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission."
