"","Strain Name","Virus Species","GenBank Accession","Sequence Length","Pango Genome Lineage","Collection Date","Year","Host","GenBank Host","Country","Mol Type","seq_length","seq_coverage","cov_categories","Continent","Continent_Region"
"316","SGEHI42244Y13","Chikungunya virus","MH647198","11660","-N/A-","10/2013",2013-10-01,"Human","Homo sapiens","Singapore","genomic RNA",11660,0.971666666666667,">90%","Asia","Southeastern Asia"
"317","BK57","Chikungunya virus","KJ579185","11717","-N/A-","10/14/2013",2013-10-14,"Human","Homo sapiens","Thailand","genomic RNA",11717,0.976416666666667,">90%","Asia","Southeastern Asia"
"318","BK46","Chikungunya virus","KJ579184","11717","-N/A-","10/14/2013",2013-10-14,"Human","Homo sapiens","Thailand","genomic RNA",11717,0.976416666666667,">90%","Asia","Southeastern Asia"
"319","BK63","Chikungunya virus","KJ579186","11717","-N/A-","10/14/2013",2013-10-14,"Human","Homo sapiens","Thailand","genomic RNA",11717,0.976416666666667,">90%","Asia","Southeastern Asia"
"320","BK68","Chikungunya virus","KJ579187","11717","-N/A-","10/14/2013",2013-10-14,"Human","Homo sapiens","Thailand","genomic RNA",11717,0.976416666666667,">90%","Asia","Southeastern Asia"
"321","Yap 13-2039","Chikungunya virus","KJ689452","12042","-N/A-","11/2013",2013-11-01,"Unknown","-N/A-","Federated States of Micronesia","genomic RNA",12042,1.0035,">90%","Australia","Oceania"
"322","Yap 13-2148","Chikungunya virus","KJ689453","12041","-N/A-","11/2013",2013-11-01,"Unknown","-N/A-","Federated States of Micronesia","genomic RNA",12041,1.00341666666667,">90%","Australia","Oceania"
"323","Caribbean","Chikungunya virus","LN898093","12230","-N/A-","12/2013",2013-12-01,"Human","Homo sapiens","French Southern and Antarctic Lands","genomic RNA",12230,1.01916666666667,">90%",NA,NA
"324","SGEHI48125Y13","Chikungunya virus","MH647199","11650","-N/A-","12/2013",2013-12-01,"Human","Homo sapiens","Singapore","genomic RNA",11650,0.970833333333333,">90%","Asia","Southeastern Asia"
"325","SGEHI48704Y13","Chikungunya virus","MH647200","11650","-N/A-","12/2013",2013-12-01,"Human","Homo sapiens","Singapore","genomic RNA",11650,0.970833333333333,">90%","Asia","Southeastern Asia"
"326","SGEHI51614Y13","Chikungunya virus","MH647201","11650","-N/A-","12/2013",2013-12-01,"Human","Homo sapiens","Singapore","genomic RNA",11650,0.970833333333333,">90%","Asia","Southeastern Asia"
"327","99659","Chikungunya virus","KJ451624","12011","-N/A-","41640",2014-01-01,"Human","Homo sapiens","British Virgin Islands","genomic RNA",12011,1.00091666666667,">90%","South America","Rest Central America"
"328","Caribbean","Chikungunya virus","LN898104","12230","-N/A-","41640",2014-01-01,"Human","Homo sapiens","French Southern and Antarctic Lands","genomic RNA",12230,1.01916666666667,">90%",NA,NA
"329","Caribbean","Chikungunya virus","LN898112","12230","-N/A-","41640",2014-01-01,"Human","Homo sapiens","French Southern and Antarctic Lands","genomic RNA",12230,1.01916666666667,">90%",NA,NA
"330","Caribbean","Chikungunya virus","LN898106","12230","-N/A-","41640",2014-01-01,"Human","Homo sapiens","French Southern and Antarctic Lands","genomic RNA",12230,1.01916666666667,">90%",NA,NA
"331","Caribbean","Chikungunya virus","LN898110","12230","-N/A-","41640",2014-01-01,"Human","Homo sapiens","French Southern and Antarctic Lands","genomic RNA",12230,1.01916666666667,">90%",NA,NA
"332","Caribbean","Chikungunya virus","LN898108","12230","-N/A-","41640",2014-01-01,"Human","Homo sapiens","French Southern and Antarctic Lands","genomic RNA",12230,1.01916666666667,">90%",NA,NA
"333","Caribbean","Chikungunya virus","LN898102","12230","-N/A-","41640",2014-01-01,"Human","Homo sapiens","French Southern and Antarctic Lands","genomic RNA",12230,1.01916666666667,">90%",NA,NA
"334","Caribbean","Chikungunya virus","LN898097","12230","-N/A-","41640",2014-01-01,"Human","Homo sapiens","French Southern and Antarctic Lands","genomic RNA",12230,1.01916666666667,">90%",NA,NA
"335","Caribbean","Chikungunya virus","LN898109","12230","-N/A-","41640",2014-01-01,"Human","Homo sapiens","French Southern and Antarctic Lands","genomic RNA",12230,1.01916666666667,">90%",NA,NA
"336","Caribbean","Chikungunya virus","LN898098","12230","-N/A-","41640",2014-01-01,"Human","Homo sapiens","French Southern and Antarctic Lands","genomic RNA",12230,1.01916666666667,">90%",NA,NA
"337","Caribbean","Chikungunya virus","LN898095","12230","-N/A-","41640",2014-01-01,"Human","Homo sapiens","French Southern and Antarctic Lands","genomic RNA",12230,1.01916666666667,">90%",NA,NA
"338","Caribbean","Chikungunya virus","LN898094","12230","-N/A-","41640",2014-01-01,"Human","Homo sapiens","French Southern and Antarctic Lands","genomic RNA",12230,1.01916666666667,">90%",NA,NA
"339","Caribbean","Chikungunya virus","LN898100","12230","-N/A-","41640",2014-01-01,"Human","Homo sapiens","French Southern and Antarctic Lands","genomic RNA",12230,1.01916666666667,">90%",NA,NA
"340","Caribbean","Chikungunya virus","LN898099","12230","-N/A-","41640",2014-01-01,"Human","Homo sapiens","French Southern and Antarctic Lands","genomic RNA",12230,1.01916666666667,">90%",NA,NA
"341","Caribbean","Chikungunya virus","LN898103","12230","-N/A-","41640",2014-01-01,"Human","Homo sapiens","French Southern and Antarctic Lands","genomic RNA",12230,1.01916666666667,">90%",NA,NA
"342","Caribbean","Chikungunya virus","LN898107","12230","-N/A-","41640",2014-01-01,"Human","Homo sapiens","French Southern and Antarctic Lands","genomic RNA",12230,1.01916666666667,">90%",NA,NA
"343","Caribbean","Chikungunya virus","LN898111","12230","-N/A-","41640",2014-01-01,"Human","Homo sapiens","French Southern and Antarctic Lands","genomic RNA",12230,1.01916666666667,">90%",NA,NA
"344","Caribbean","Chikungunya virus","LN898096","12230","-N/A-","41640",2014-01-01,"Human","Homo sapiens","French Southern and Antarctic Lands","genomic RNA",12230,1.01916666666667,">90%",NA,NA
"345","Caribbean","Chikungunya virus","LN898105","12230","-N/A-","41640",2014-01-01,"Human","Homo sapiens","French Southern and Antarctic Lands","genomic RNA",12230,1.01916666666667,">90%",NA,NA
"346","Caribbean","Chikungunya virus","LN898101","12230","-N/A-","41640",2014-01-01,"Human","Homo sapiens","French Southern and Antarctic Lands","genomic RNA",12230,1.01916666666667,">90%",NA,NA
"347","SGEHI01545Y14","Chikungunya virus","MH647202","11650","-N/A-","41640",2014-01-01,"Human","Homo sapiens","Singapore","genomic RNA",11650,0.970833333333333,">90%","Asia","Southeastern Asia"
"348","BzH1","Chikungunya virus","KT581023","11391","-N/A-","41640",2014-01-01,"Human","Homo sapiens","Brazil","genomic RNA",11391,0.94925,">90%","South America","Brazil"
"349","WHCHK24","Chikungunya virus","KR559493","12014","-N/A-","41640",2014-01-01,"Unknown","-N/A-",NA,"genomic RNA",12014,1.00116666666667,">90%",NA,NA
"350","CH0008","Chikungunya virus","KT327163","12193","-N/A-","41640",2014-01-01,"Human","Homo sapiens","Mexico","genomic RNA",12193,1.01608333333333,">90%","South America","Mexico"
"351","CH0045","Chikungunya virus","KT327164","11954","-N/A-","41640",2014-01-01,"Human","Homo sapiens","Mexico","genomic RNA",11954,0.996166666666667,">90%","South America","Mexico"
"352","LI0031","Chikungunya virus","KT327166","12176","-N/A-","41640",2014-01-01,"Human","Homo sapiens","Mexico","genomic RNA",12176,1.01466666666667,">90%","South America","Mexico"
"353","CH0072","Chikungunya virus","KT327165","12177","-N/A-","41640",2014-01-01,"Human","Homo sapiens","Mexico","genomic RNA",12177,1.01475,">90%","South America","Mexico"
"354","TA0006","Chikungunya virus","KT327167","12176","-N/A-","41640",2014-01-01,"Human","Homo sapiens","Mexico","genomic RNA",12176,1.01466666666667,">90%","South America","Mexico"
"355","N468","Chikungunya virus","KY272967","11520","-N/A-","41640",2014-01-01,"Human","Homo sapiens","Dominican Republic","genomic RNA",11520,0.96,">90%","South America","Rest Central America"
"356","N494","Chikungunya virus","KY272963","11520","-N/A-","41640",2014-01-01,"Human","Homo sapiens","Dominican Republic","genomic RNA",11520,0.96,">90%","South America","Rest Central America"
"357","N300","Chikungunya virus","KY272969","11520","-N/A-","41640",2014-01-01,"Human","Homo sapiens","Dominican Republic","genomic RNA",11520,0.96,">90%","South America","Rest Central America"
"358","N493","Chikungunya virus","KY272964","11520","-N/A-","41640",2014-01-01,"Human","Homo sapiens","Dominican Republic","genomic RNA",11520,0.96,">90%","South America","Rest Central America"
"359","N469","Chikungunya virus","KY272966","11520","-N/A-","41640",2014-01-01,"Human","Homo sapiens","Dominican Republic","genomic RNA",11520,0.96,">90%","South America","Rest Central America"
"360","N587","Chikungunya virus","KY272970","11520","-N/A-","41640",2014-01-01,"Human","Homo sapiens","Dominican Republic","genomic RNA",11520,0.96,">90%","South America","Rest Central America"
"361","N490","Chikungunya virus","KY272965","11520","-N/A-","41640",2014-01-01,"Human","Homo sapiens","Dominican Republic","genomic RNA",11520,0.96,">90%","South America","Rest Central America"
"362","N424","Chikungunya virus","KY272968","11520","-N/A-","41640",2014-01-01,"Human","Homo sapiens","Dominican Republic","genomic RNA",11520,0.96,">90%","South America","Rest Central America"
"363","N594","Chikungunya virus","KY272962","11520","-N/A-","41640",2014-01-01,"Human","Homo sapiens","Dominican Republic","genomic RNA",11520,0.96,">90%","South America","Rest Central America"
"364","N581","Chikungunya virus","KY272961","11520","-N/A-","41640",2014-01-01,"Human","Homo sapiens","Dominican Republic","genomic RNA",11520,0.96,">90%","South America","Rest Central America"
"365","CHIKV/Homo sapiens/USA/IDR1400021177/2014","Chikungunya virus","KY575573","11636","-N/A-","41640",2014-01-01,"Human","Homo sapiens","United States of America","genomic RNA",11636,0.969666666666667,">90%","North America","USA"
"366","CHIKV/Homo sapiens/USA/IDR1400023906/2014","Chikungunya virus","KY575572","11435","-N/A-","41640",2014-01-01,"Human","Homo sapiens","United States of America","genomic RNA",11435,0.952916666666667,">90%","North America","USA"
"367","CHIKV/Homo sapiens/USA/IDR1400021488/2014","Chikungunya virus","KY575569","11696","-N/A-","41640",2014-01-01,"Human","Homo sapiens","United States of America","genomic RNA",11696,0.974666666666667,">90%","North America","USA"
"368","CHIKV/Homo sapiens/USA/IDR1400019200/2014","Chikungunya virus","KY575566","11456","-N/A-","41640",2014-01-01,"Human","Homo sapiens","United States of America","genomic RNA",11456,0.954666666666667,">90%","North America","USA"
"369","CHIKV/Homo sapiens/USA/IDR1400024561/2014","Chikungunya virus","KY575565","11643","-N/A-","41640",2014-01-01,"Human","Homo sapiens","United States of America","genomic RNA",11643,0.97025,">90%","North America","USA"
"370","VE56/13","Chikungunya virus","KU365369","11476","-N/A-","41640",2014-01-01,"Human","Homo sapiens","Trinidad and Tobago","genomic RNA",11476,0.956333333333333,">90%","South America","Rest Central America"
"371","Samoa 2014","Chikungunya virus","MF773559","12015","-N/A-","41640",2014-01-01,"Human","Homo sapiens","Samoa","genomic RNA",12015,1.00125,">90%","Australia","Oceania"
"372","Caribbean 2014","Chikungunya virus","MF773560","12012","-N/A-","41640",2014-01-01,"Human","Homo sapiens",NA,"genomic RNA",12012,1.001,">90%",NA,NA
"373","Philippines 2014","Chikungunya virus","MF773563","12012","-N/A-","41640",2014-01-01,"Human","Homo sapiens","Philippines","genomic RNA",12012,1.001,">90%","Asia","Southeastern Asia"
"374","CHIKV/Homo sapiens/GLP/YO-111213/2014","Chikungunya virus","KX262992","11294","-N/A-","01/05/2014",2014-01-05,"Human","Homo sapiens","French Southern and Antarctic Lands","genomic RNA",11294,0.941166666666667,">90%",NA,NA
"375","CHIKV/Homo sapiens/GUF/YO-123223/2014","Chikungunya virus","KX262994","11702","-N/A-","01/21/2014",2014-01-21,"Human","Homo sapiens","French Guiana","genomic RNA",11702,0.975166666666667,">90%",NA,NA
"376","14.00309","Chikungunya virus","KY435486","11225","-N/A-","01/23/2014",2014-01-23,"Human","Homo sapiens","British Virgin Islands","genomic RNA",11225,0.935416666666667,">90%","South America","Rest Central America"
"377","14.00324","Chikungunya virus","KY435485","11225","-N/A-","01/28/2014",2014-01-28,"Human","Homo sapiens","Dominica","genomic RNA",11225,0.935416666666667,">90%","South America","Rest Central America"
"378","14.00448","Chikungunya virus","KY435484","11225","-N/A-","01/30/2014",2014-01-30,"Human","Homo sapiens","Dominica","genomic RNA",11225,0.935416666666667,">90%","South America","Rest Central America"
"379","SGEHI07110Y14","Chikungunya virus","MH647203","11668","-N/A-","02/2014",2014-02-01,"Human","Homo sapiens","Singapore","genomic RNA",11668,0.972333333333333,">90%","Asia","Southeastern Asia"
"380","SGEHI08550Y14","Chikungunya virus","MH647204","11650","-N/A-","02/2014",2014-02-01,"Human","Homo sapiens","Singapore","genomic RNA",11650,0.970833333333333,">90%","Asia","Southeastern Asia"
"381","14.00686","Chikungunya virus","KY435483","11225","-N/A-","02/12/2014",2014-02-12,"Human","Homo sapiens","Anguilla","genomic RNA",11225,0.935416666666667,">90%","South America","Rest Central America"
"382","WHCHK29","Chikungunya virus","KR559498","12011","-N/A-","03/2014",2014-03-01,"Unknown","-N/A-","Dominican Republic","genomic RNA",12011,1.00091666666667,">90%","South America","Rest Central America"
"383","14.01152","Chikungunya virus","KY435482","11225","-N/A-","03/11/2014",2014-03-11,"Human","Homo sapiens","Saint Kitts and Nevis","genomic RNA",11225,0.935416666666667,">90%","South America","Rest Central America"
"384","CHIKV/Hu/Tonga/NIID41/2014","Chikungunya virus","LC259088","12007","-N/A-","03/25/2014",2014-03-25,"Human","Homo sapiens","Tonga","genomic RNA",12007,1.00058333333333,">90%","Australia","Oceania"
"385","TA-0006","Chikungunya virus","KU365368","11993","-N/A-","03/26/2014",2014-03-26,"Human","Homo sapiens","Mexico","genomic RNA",11993,0.999416666666667,">90%","South America","Mexico"
"386","WHCHK10","Chikungunya virus","KR559479","12011","-N/A-","04/2014",2014-04-01,"Unknown","-N/A-","Dominican Republic","genomic RNA",12011,1.00091666666667,">90%","South America","Rest Central America"
"387","SGEHI14414Y14","Chikungunya virus","MH647205","11509","-N/A-","04/2014",2014-04-01,"Human","Homo sapiens","Singapore","genomic RNA",11509,0.959083333333333,">90%","Asia","Southeastern Asia"
"388","14.01349","Chikungunya virus","KY435481","11225","-N/A-","04/22/2014",2014-04-22,"Human","Homo sapiens","Saint Lucia","genomic RNA",11225,0.935416666666667,">90%","South America","Rest Central America"
"389","14.01507","Chikungunya virus","KY435480","11225","-N/A-","04/27/2014",2014-04-27,"Human","Homo sapiens","Haiti","genomic RNA",11225,0.935416666666667,">90%","South America","Rest Central America"
"390","14.01526","Chikungunya virus","KY435479","11225","-N/A-","04/28/2014",2014-04-28,"Human","Homo sapiens","Antigua and Barbuda","genomic RNA",11225,0.935416666666667,">90%","South America","Rest Central America"
"391","WHCHK9","Chikungunya virus","KR559478","12010","-N/A-","05/2014",2014-05-01,"Unknown","-N/A-","Haiti","genomic RNA",12010,1.00083333333333,">90%","South America","Rest Central America"
"392","CHIKV/Homo sapiens/USA/CKVHL_23/2014","Chikungunya virus","KY680390","11567","-N/A-","05/07/2014",2014-05-07,"Human","Homo sapiens; sex: female; age: 44 years","United States of America","genomic RNA",11567,0.963916666666667,">90%","North America","USA"
"393","CHIKV/Homo sapiens/USA/CKVHL_32/2014","Chikungunya virus","KY680354","11435","-N/A-","05/08/2014",2014-05-08,"Human","Homo sapiens; sex: female; age: 44 years","United States of America","genomic RNA",11435,0.952916666666667,">90%","North America","USA"
"394","CHIKV/Homo sapiens/USA/CKVHL_47/2014","Chikungunya virus","KY680347","11959","-N/A-","05/13/2014",2014-05-13,"Human","Homo sapiens; sex: female; age: 29 years","United States of America","genomic RNA",11959,0.996583333333333,">90%","North America","USA"
"395","CHIKV/Homo sapiens/USA/CKVHL_139/2014","Chikungunya virus","KY680364","11307","-N/A-","05/15/2014",2014-05-15,"Human","Homo sapiens; sex: female; age: 40 years","United States of America","genomic RNA",11307,0.94225,">90%","North America","USA"
"396","CHIKV/Homo sapiens/USA/CKVHL_126/2014","Chikungunya virus","KY680352","11571","-N/A-","05/15/2014",2014-05-15,"Human","Homo sapiens; sex: female; age: 79 years","United States of America","genomic RNA",11571,0.96425,">90%","North America","USA"
"397","14.02086","Chikungunya virus","KY435478","11225","-N/A-","05/17/2014",2014-05-17,"Human","Homo sapiens","Guyana","genomic RNA",11225,0.935416666666667,">90%","South America","Rest South America"
"398","14.02526","Chikungunya virus","KY435474","11225","-N/A-","05/19/2014",2014-05-19,"Human","Homo sapiens","Saint Lucia","genomic RNA",11225,0.935416666666667,">90%","South America","Rest Central America"
"399","14.02346","Chikungunya virus","KY435475","11225","-N/A-","05/22/2014",2014-05-22,"Human","Homo sapiens","Saint Vincent and the Grenadines","genomic RNA",11225,0.935416666666667,">90%","South America","Rest Central America"
"400","14.02557","Chikungunya virus","KY435473","11225","-N/A-","05/22/2014",2014-05-22,"Human","Homo sapiens","Saint Lucia","genomic RNA",11225,0.935416666666667,">90%","South America","Rest Central America"
"401","CHIKV/Homo sapiens/USA/CKVHL_01/2014","Chikungunya virus","KY680397","12136","-N/A-","05/23/2014",2014-05-23,"Human","Homo sapiens; sex: male; age: 65 years","United States of America","genomic RNA",12136,1.01133333333333,">90%","North America","USA"
"402","KLF_67114","Chikungunya virus","MT526803","11788","-N/A-","05/23/2014",2014-05-23,"Human","Homo sapiens","Kenya","genomic RNA",11788,0.982333333333333,">90%","Africa","Eastern Africa"
"403","CHIKV/Homo sapiens/USA/CKVHL_22/2014","Chikungunya virus","KY680369","12136","-N/A-","05/24/2014",2014-05-24,"Human","Homo sapiens; sex: female; age: 58 years","United States of America","genomic RNA",12136,1.01133333333333,">90%","North America","USA"
"404","CHIKV/Homo sapiens/USA/CKVHL_136/2014","Chikungunya virus","KY680361","11571","-N/A-","05/26/2014",2014-05-26,"Human","Homo sapiens; sex: male; age: 34 years","United States of America","genomic RNA",11571,0.96425,">90%","North America","USA"
"405","Haiti-3/2014","Chikungunya virus","KY415978","12037","-N/A-","05/29/2014",2014-05-29,"Human","Homo sapiens","Haiti","genomic RNA",12037,1.00308333333333,">90%","South America","Rest Central America"
"406","Haiti-4/2014","Chikungunya virus","KY415979","12037","-N/A-","05/29/2014",2014-05-29,"Human","Homo sapiens","Haiti","genomic RNA",12037,1.00308333333333,">90%","South America","Rest Central America"
"407","InDRE 4CHIK","Chikungunya virus","KP851710","11991","-N/A-","05/30/2014",2014-05-30,"Human","Homo sapiens; female","Mexico","genomic RNA",11991,0.99925,">90%","South America","Mexico"
"408","14.02217","Chikungunya virus","KY435477","11225","-N/A-","05/31/2014",2014-05-31,"Human","Homo sapiens","Guyana","genomic RNA",11225,0.935416666666667,">90%","South America","Rest South America"
"409","WHCHK28","Chikungunya virus","KR559497","12010","-N/A-","06/2014",2014-06-01,"Unknown","-N/A-",NA,"genomic RNA",12010,1.00083333333333,">90%",NA,NA
"410","WHCHK3","Chikungunya virus","KR559472","12010","-N/A-","06/2014",2014-06-01,"Unknown","-N/A-","El Salvador","genomic RNA",12010,1.00083333333333,">90%","South America","Rest Central America"
"411","Homo sapiens/Haiti-11/2014","Chikungunya virus","MG967666","12230","-N/A-","06/2014",2014-06-01,"Human","Homo sapiens","Haiti","genomic RNA",12230,1.01916666666667,">90%","South America","Rest Central America"
"412","SGEHI23266Y14","Chikungunya virus","MH647206","11541","-N/A-","06/2014",2014-06-01,"Human","Homo sapiens","Singapore","genomic RNA",11541,0.96175,">90%","Asia","Southeastern Asia"
"413","Chikungunya virus Homo sapiens/Haiti-1/2014","Chikungunya virus","KX702401","12037","-N/A-","06/02/2014",2014-06-02,"Human","Homo sapiens","Haiti","viral cRNA",12037,1.00308333333333,">90%","South America","Rest Central America"
"414","Haiti-8/2014","Chikungunya virus","KY415983","12037","-N/A-","06/02/2014",2014-06-02,"Human","Homo sapiens","Haiti","genomic RNA",12037,1.00308333333333,">90%","South America","Rest Central America"
"415","CHIKV/Homo sapiens/USA/CKVHL_135/2014","Chikungunya virus","KY680382","12136","-N/A-","06/04/2014",2014-06-04,"Human","Homo sapiens; sex: female; age: 49 years","United States of America","genomic RNA",12136,1.01133333333333,">90%","North America","USA"
"416","CHIKV/Homo sapiens/USA/CKVHL_24/2014","Chikungunya virus","KY680375","11570","-N/A-","06/04/2014",2014-06-04,"Human","Homo sapiens; sex: female; age: 33 years","United States of America","genomic RNA",11570,0.964166666666667,">90%","North America","USA"
"417","CHIKV/Homo sapiens/USA/CKVHL_86/2014","Chikungunya virus","KY680372","12136","-N/A-","06/04/2014",2014-06-04,"Human","Homo sapiens; sex: female; age: 39 years","United States of America","genomic RNA",12136,1.01133333333333,">90%","North America","USA"
"418","Haiti-5/2014","Chikungunya virus","KY415980","12037","-N/A-","06/05/2014",2014-06-05,"Human","Homo sapiens","Haiti","genomic RNA",12037,1.00308333333333,">90%","South America","Rest Central America"
"419","14.02306","Chikungunya virus","KY435476","11225","-N/A-","06/05/2014",2014-06-05,"Human","Homo sapiens","Turks and Caicos Islands","genomic RNA",11225,0.935416666666667,">90%","South America","Rest Central America"
"420","Chikungunya virus Homo sapiens/Haiti-2/2014","Chikungunya virus","KX702402","12037","-N/A-","06/09/2014",2014-06-09,"Human","Homo sapiens","Haiti","viral cRNA",12037,1.00308333333333,">90%","South America","Rest Central America"
"421","CHIKV/Homo sapiens/USA/CKVHL_49/2014","Chikungunya virus","KY680367","12136","-N/A-","06/09/2014",2014-06-09,"Human","Homo sapiens; sex: female; age: 61 years","United States of America","genomic RNA",12136,1.01133333333333,">90%","North America","USA"
"422","Haiti-6/2014","Chikungunya virus","KY415981","12037","-N/A-","06/10/2014",2014-06-10,"Human","Homo sapiens","Haiti","genomic RNA",12037,1.00308333333333,">90%","South America","Rest Central America"
"423","Haiti-7/2014","Chikungunya virus","KY415982","12037","-N/A-","06/11/2014",2014-06-11,"Human","Homo sapiens","Haiti","genomic RNA",12037,1.00308333333333,">90%","South America","Rest Central America"
"424","14.02585","Chikungunya virus","KY435471","11225","-N/A-","06/11/2014",2014-06-11,"Human","Homo sapiens","Turks and Caicos Islands","genomic RNA",11225,0.935416666666667,">90%","South America","Rest Central America"
"425","CHIKV/Homo sapiens/USA/CKVHL_91/2014","Chikungunya virus","KY680403","12136","-N/A-","06/14/2014",2014-06-14,"Human","Homo sapiens; sex: male; age: 75 years","United States of America","genomic RNA",12136,1.01133333333333,">90%","North America","USA"
"426","CHIKV/Homo sapiens/USA/CKVHL_111/2014","Chikungunya virus","KY680363","11952","-N/A-","06/15/2014",2014-06-15,"Human","Homo sapiens; age: 56 years","United States of America","genomic RNA",11952,0.996,">90%","North America","USA"
"427","14.02560","Chikungunya virus","KY435472","11225","-N/A-","06/16/2014",2014-06-16,"Human","Homo sapiens","Grenada","genomic RNA",11225,0.935416666666667,">90%","South America","Rest Central America"
"428","CHIKV/Homo sapiens/USA/CKVHL_96/2014","Chikungunya virus","KY680405","12136","-N/A-","06/18/2014",2014-06-18,"Human","Homo sapiens; sex: male; age: 46 years","United States of America","genomic RNA",12136,1.01133333333333,">90%","North America","USA"
"429","CHIKV/Hu/Commonwealth of Dominica/NIID73/2014","Chikungunya virus","LC259089","12004","-N/A-","06/23/2014",2014-06-23,"Human","Homo sapiens","Dominica","genomic RNA",12004,1.00033333333333,">90%","South America","Rest Central America"
"430","Haiti-9/2014","Chikungunya virus","KY415984","12037","-N/A-","06/24/2014",2014-06-24,"Human","Homo sapiens","Haiti","genomic RNA",12037,1.00308333333333,">90%","South America","Rest Central America"
"431","CHIKV/Homo sapiens/USA/CKVHL_26/2014","Chikungunya virus","KY680351","11974","-N/A-","06/24/2014",2014-06-24,"Human","Homo sapiens; age: 68 years","United States of America","genomic RNA",11974,0.997833333333333,">90%","North America","USA"
"432","CHIKV/Homo sapiens/USA/CKVHL_03/2014","Chikungunya virus","KY680384","11526","-N/A-","06/25/2014",2014-06-25,"Human","Homo sapiens; sex: female; age: 37 years","United States of America","genomic RNA",11526,0.9605,">90%","North America","USA"
"433","CHIKV/Homo sapiens/USA/CKVHL_34/2014","Chikungunya virus","KY680408","11716","-N/A-","06/26/2014",2014-06-26,"Human","Homo sapiens; sex: female; age: 88 years","United States of America","genomic RNA",11716,0.976333333333333,">90%","North America","USA"
"434","WHCHK8","Chikungunya virus","KR559477","12008","-N/A-","07/2014",2014-07-01,"Unknown","-N/A-","Dominican Republic","genomic RNA",12008,1.00066666666667,">90%","South America","Rest Central America"
"435","WHCHK27","Chikungunya virus","KR559496","12010","-N/A-","07/2014",2014-07-01,"Unknown","-N/A-","Guyana","genomic RNA",12010,1.00083333333333,">90%","South America","Rest South America"
"436","WHCHK7","Chikungunya virus","KR559476","12004","-N/A-","07/2014",2014-07-01,"Unknown","-N/A-","Haiti","genomic RNA",12004,1.00033333333333,">90%","South America","Rest Central America"
"437","WHCHK18","Chikungunya virus","KR559487","12011","-N/A-","07/2014",2014-07-01,"Unknown","-N/A-","Honduras","genomic RNA",12011,1.00091666666667,">90%","South America","Rest Central America"
"438","WHCHK26","Chikungunya virus","KR559495","12010","-N/A-","07/2014",2014-07-01,"Unknown","-N/A-","Puerto Rico","genomic RNA",12010,1.00083333333333,">90%","South America","Rest Central America"
"439","WHCHK25","Chikungunya virus","KR559494","12011","-N/A-","07/2014",2014-07-01,"Unknown","-N/A-","United States Virgin Islands","genomic RNA",12011,1.00091666666667,">90%","South America","Rest Central America"
"440","CHIKV/Homo sapiens/USA/CKVHL_97/2014","Chikungunya virus","KY680349","11307","-N/A-","07/02/2014",2014-07-02,"Human","Homo sapiens; sex: female; age: 63 years","United States of America","genomic RNA",11307,0.94225,">90%","North America","USA"
"441","PER160/H803609","Chikungunya virus","KP164571","12189","-N/A-","07/03/2014",2014-07-03,"Human","Homo sapiens","Brazil","genomic RNA",12189,1.01575,">90%","South America","Brazil"
"442","CHIKV/Homo sapiens/USA/CKVHL_29/2014","Chikungunya virus","KY680359","12136","-N/A-","07/04/2014",2014-07-04,"Human","Homo sapiens; sex: male; age: 50 years","United States of America","genomic RNA",12136,1.01133333333333,">90%","North America","USA"
"443","14.05081","Chikungunya virus","KY435460","11225","-N/A-","07/06/2014",2014-07-06,"Human","Homo sapiens","Cayman Islands","genomic RNA",11225,0.935416666666667,">90%","South America","Rest Central America"
"444","14.02961","Chikungunya virus","KY435470","11225","-N/A-","07/08/2014",2014-07-08,"Human","Homo sapiens","The Bahamas","genomic RNA",11225,0.935416666666667,">90%","South America","Rest Central America"
"445","HUBCK18","Chikungunya virus","KX619422","11408","-N/A-","07/08/2014",2014-07-08,"Human","Homo sapiens","India","genomic RNA",11408,0.950666666666667,">90%","Asia","India+"
"446","PR-S4","Chikungunya virus","KR264949","12014","-N/A-","07/15/2014",2014-07-15,"Human","Homo sapiens","Puerto Rico","genomic RNA",12014,1.00116666666667,">90%","South America","Rest Central America"
"447","CHIKV/Homo sapiens/USA/CKVHL_27/2014","Chikungunya virus","KY680400","11775","-N/A-","07/15/2014",2014-07-15,"Human","Homo sapiens; sex: female; age: 37 years","United States of America","genomic RNA",11775,0.98125,">90%","North America","USA"
"448","PR-S5","Chikungunya virus","KR264950","11449","-N/A-","07/16/2014",2014-07-16,"Human","Homo sapiens","Puerto Rico","genomic RNA",11449,0.954083333333333,">90%","South America","Rest Central America"
"449","CHIKV/Homo sapiens/USA/CKVHL_08/2014","Chikungunya virus","KY680395","11697","-N/A-","07/21/2014",2014-07-21,"Human","Homo sapiens; sex: female; age: 66 years","United States of America","genomic RNA",11697,0.97475,">90%","North America","USA"
"450","CHIKV/Homo sapiens/USA/CKVHL_30/2014","Chikungunya virus","KY680356","12136","-N/A-","07/21/2014",2014-07-21,"Human","Homo sapiens; sex: male; age: 48 years","United States of America","genomic RNA",12136,1.01133333333333,">90%","North America","USA"
